"levelSim","level","slopeMeanCurve","slopeMeanCurveOrig","meanSlopeCurves","sObs","shannon","simpson"
"10","San Andrés y Providencia","0.0501795707127338","0.0982192143938539","0.067613734015868","53","-3.21769330689878","0.0615530802037774"
"10","La Guajira","0.02502996109885","0.0474567212861988","0.030822201699898","761","-5.41177116668269","0.00707719384241915"
"10","Magdalena","0.0614356305799299","0.100397249881729","0.0720360752253327","1519","-5.61611870403119","0.0122584810629697"
"10","Atlántico","0.0670150518748867","0.126725630366381","0.0865962081917002","382","-5.34263472411453","0.00654022021078144"
"10","Bolívar","0.190988310216937","0.269806416969945","0.216178531134699","694","-5.43557877789829","0.0220619170796114"
"10","Cesar","0.180852450060687","0.276412197905587","0.215101885247907","542","-5.67331379258475","0.00883127696529042"
"10","Córdoba","0.035385619784794","0.0622757418902209","0.0424289043655116","821","-5.56156319452327","0.00569944644131796"
"10","Sucre","0.116256075753221","0.170781709223559","0.132701133138165","430","-4.47881650131887","0.0526440714564526"
"10","Chocó","0.176751712011353","0.281226966671802","0.218420475070832","2374","-7.32538588658368","0.00101866365485548"
"10","Antioquia","0.0492963711324977","0.090627885720404","0.0613067357320046","8105","-7.69929024620069","0.00135068115184497"
"10","Norte de Santander","0.183684775285899","0.280116944685914","0.220600479849798","1038","-6.33871726172084","0.0038871594039412"
"10","Santander","0.152082404558015","0.241903376663919","0.186357719011286","3085","-7.30443694263481","0.00191754821561459"
"10","Boyacá","0.0975587611542017","0.169873471682107","0.122166381819939","2587","-7.12405483368593","0.00161821290847406"
"10","Arauca","0.100348535093233","0.161639365948492","0.118751324416398","628","-5.66752675598885","0.00499555570733786"
"10","Casanare","0.141346894269923","0.21070499748843","0.162107431536048","1378","-6.27984648685206","0.00498555724143865"
"10","Vichada","0.159583810359775","0.246882816560635","0.189133154764043","1428","-6.61539483403183","0.00252372610337459"
"10","Risaralda","0.119806930830965","0.196463454754184","0.145992697487775","1848","-6.72085320277359","0.00285711252703215"
"10","Caldas","0.0557028687455007","0.0954113685926881","0.0667844552101687","1837","-6.33632658423973","0.00347491001383713"
"10","Tolima","0.153247808886796","0.247652027748439","0.189624889705534","2007","-7.01579471196061","0.00189984692264145"
"10","Cundinamarca","0.0787978203989774","0.147572975636379","0.103169012206801","3924","-7.5698445885095","0.000938046689479922"
"10","Valle del Cauca","0.0691850077094504","0.118497159882817","0.0840363804552489","3801","-7.01304460044076","0.00240934690914148"
"10","Quindío","0.05922566537922","0.108135025924008","0.0746325628363401","1316","-6.05869109610608","0.00724576234136685"
"10","Meta","0.0963918970631888","0.164536486247343","0.118815358971147","3344","-7.25048952237757","0.00173649332192457"
"10","Cauca","0.136453507060283","0.215317882922497","0.163235428840828","2104","-6.88944052092321","0.00213907994053636"
"10","Huila","0.155026937371687","0.244904814746762","0.188396302434687","1403","-6.6706291058024","0.0021177122467107"
"10","Guainía","0.467578925929445","0.562643019084307","0.491909700225041","583","-6.08659394526855","0.00308876232651571"
"10","Nariño","0.00929129688063922","0.0137382803316035","0.0096465406335737","2818","-4.07966557826556","0.0486753038840027"
"10","Caquetá","0.117659136757837","0.191023421865653","0.141565053780498","3998","-7.56070329467001","0.000888271739916219"
"10","Guaviare","0.229949873955874","0.337704994136039","0.269676631851558","2066","-7.25599131939674","0.000998688837573846"
"10","Putumayo","0.324743424795192","0.428379810737499","0.359445171979432","1856","-7.15118489079424","0.00118664005069805"
"10","Vaupés","0.275148556548056","0.378747747001634","0.309686631666746","1776","-7.05242916806679","0.0013883743336883"
"10","Amazonas","0.11097400831711","0.180526863078383","0.13334118676697","3914","-7.42161522572779","0.00156820378745884"
"20","San Andrés y Providencia","0.0480818976261081","0.0981209416611605","0.0677983547999054","53","-3.21769330689878","0.0615530802037774"
"20","La Guajira","0.0235716123871341","0.0473149314505815","0.0313633084423591","761","-5.41177116668269","0.00707719384241915"
"20","Magdalena","0.0572242616094929","0.0978931530776937","0.0722123376005295","1519","-5.61611870403119","0.0122584810629697"
"20","Atlántico","0.062879781608358","0.12609721313189","0.088501524891193","382","-5.34263472411453","0.00654022021078144"
"20","Bolívar","0.186758182432979","0.264755928920664","0.216561652797278","694","-5.43557877789829","0.0220619170796114"
"20","Cesar","0.175978798577636","0.270044295933634","0.217623145766132","542","-5.67331379258475","0.00883127696529042"
"20","Córdoba","0.0332606813817665","0.0610838130272655","0.042413538159465","821","-5.56156319452327","0.00569944644131796"
"20","Sucre","0.108807585931589","0.165752563384064","0.132025013828052","430","-4.47881650131887","0.0526440714564526"
"20","Chocó","0.166505791268332","0.269087015314408","0.21696309945956","2374","-7.32538588658368","0.00101866365485548"
"20","Antioquia","0.0453927329586679","0.0881409067832531","0.0617714784516604","8105","-7.69929024620069","0.00135068115184497"
"20","Norte de Santander","0.173959460101107","0.270472135509018","0.219279231382243","1038","-6.33871726172084","0.0038871594039412"
"20","Santander","0.144390822415408","0.234484738601268","0.187404993603489","3085","-7.30443694263481","0.00191754821561459"
"20","Boyacá","0.0912656062102012","0.164531260829659","0.122459387491391","2587","-7.12405483368593","0.00161821290847406"
"20","Arauca","0.0947603956340222","0.157087162343189","0.117447051067637","628","-5.66752675598885","0.00499555570733786"
"20","Casanare","0.136779480553418","0.206645843709046","0.162338068520208","1378","-6.27984648685206","0.00498555724143865"
"20","Vichada","0.154162016862183","0.241051477244455","0.190090339954855","1428","-6.61539483403183","0.00252372610337459"
"20","Risaralda","0.114151025872845","0.191908391344628","0.147693432617075","1848","-6.72085320277359","0.00285711252703215"
